Year,Units,Zeitreihe,Geschlecht,Region,GeoCode,Value
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,87.6
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,88.4
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,88.0
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,86.7
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,87.2
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,85.7
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,73.9
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,78.7
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,85.6
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,73.0
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,83.4
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,79.5
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,85.3
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,78.7
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,85.2
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,81.5
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,86.7
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,85.3
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,83.8
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,81.9
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,89.3
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,83.1
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,87.2
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,91.8
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,84.1
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,80.2
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,75.0
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Mecklenburg-Vorpommern,code13,79.2
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,100.0
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,90.0
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,73.7
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,79.7
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,91.5
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,83.3
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,94.6
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,88.0
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,91.5
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,86.5
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,88.6
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,82.9
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,92.1
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,89.9
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,88.2
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,87.4
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,90.4
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,85.8
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,89.8
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,92.7
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,90.3
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,89.9
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,84.7
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Mecklenburg-Vorpommern,code13,82.8
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,75.0
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,81.8
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,74.1
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,77.8
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,76.6
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,63.6
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,71.8
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,70.4
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,77.7
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,71.4
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,82.7
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,80.0
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,80.8
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,80.4
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,79.6
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,76.7
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,88.3
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,80.2
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,84.6
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,90.8
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,78.7
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,73.3
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,69.7
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Mecklenburg-Vorpommern,code13,76.8
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,72.7
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,72.7
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,74.8
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,74.1
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,72.4
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,72.6
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,73.4
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,71.5
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,77.6
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,75.0
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,75.1
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,79.9
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,80.0
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,82.7
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,83.8
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,84.3
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,86.4
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,86.3
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,87.8
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,85.6
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,83.7
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,77.1
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,77.1
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Niedersachsen,code03,76.9
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,77.4
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,77.4
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,80.1
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,79.9
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,78.3
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,78.5
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,79.4
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,77.1
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,82.6
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,80.5
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,80.3
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,84.1
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,84.0
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,86.2
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,87.1
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,87.8
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,89.0
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,87.7
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,88.6
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,86.5
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,85.8
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,82.0
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,80.6
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Niedersachsen,code03,80.5
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,68.6
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,68.6
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,70.6
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,68.9
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,67.2
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,67.4
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,68.0
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,67.1
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,73.5
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,70.4
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,70.4
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,75.9
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,76.2
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,79.4
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,80.7
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,81.0
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,83.9
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,85.0
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,87.0
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,84.7
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,81.8
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,73.2
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,74.5
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Niedersachsen,code03,73.9
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,87.3
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,87.0
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,87.2
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,87.7
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,86.9
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,86.4
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,85.6
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,86.3
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,86.1
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,85.9
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,86.2
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,85.8
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,85.9
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,86.9
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,87.7
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,88.7
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,89.0
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,89.8
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,88.5
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,88.9
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,88.4
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,84.6
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,84.0
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Nordrhein-Westfalen,code05,84.1
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,90.2
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,90.2
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,90.4
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,90.4
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,89.7
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,89.5
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,88.6
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,89.0
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,89.2
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,89.1
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,88.8
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,88.5
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,88.6
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,88.7
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,89.6
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,90.5
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,90.6
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,91.5
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,90.3
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,90.4
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,90.3
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,87.8
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,86.7
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Nordrhein-Westfalen,code05,86.5
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,84.7
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,84.1
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,84.3
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,85.2
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,84.1
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,83.5
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,82.6
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,83.7
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,83.1
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,83.1
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,83.8
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,83.1
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,83.4
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,85.1
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,85.9
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,86.9
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,87.4
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,88.1
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,86.7
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,87.4
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,86.6
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,81.7
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,81.7
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Nordrhein-Westfalen,code05,82.0
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,78.3
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,77.2
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,74.8
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,73.0
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,74.8
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,76.8
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,78.1
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,74.6
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,78.5
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,85.0
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,83.2
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,84.9
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,84.1
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,86.4
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,88.2
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,89.2
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,90.0
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,89.7
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,89.0
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,88.1
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,86.0
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,82.4
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,82.1
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Rheinland-Pfalz,code07,82.2
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Rheinland-Pfalz,code07,84.8
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Rheinland-Pfalz,code07,81.9
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Rheinland-Pfalz,code07,81.2
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Rheinland-Pfalz,code07,79.7
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Rheinland-Pfalz,code07,81.1
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Rheinland-Pfalz,code07,81.8
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Rheinland-Pfalz,code07,82.9
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Rheinland-Pfalz,code07,76.0
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Rheinland-Pfalz,code07,83.2
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Rheinland-Pfalz,code07,87.3
