Year,Units,Series,Art der Fläche,Bundesland,GeoCode,Value
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,2.2
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,3.6
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,2.5
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,3.7
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,2.8
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,2.5
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,1.5
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,5.3
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,7.6
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,7.6
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,7.6
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,7.6
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,7.3
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,10.9
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,8.8
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,7.9
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,6.7
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,7.3
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,6.7
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,10.7
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,7.7
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,7.1
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,2.7
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,3.1
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,2.1
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,2.0
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,5.1
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,17.7
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,-7.9
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.5
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,1.0
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,16.6
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,16.4
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,16.4
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,16.4
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,16.4
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,14.9
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,11.8
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,12.6
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,18.3
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,14.0
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,11.5
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,10.0
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,11.0
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,8.6
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,8.0
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,14.8
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,9.8
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,9.2
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,10.3
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,9.5
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,0.8
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,6.5
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,7.1
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,5.8
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,6.8
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,15.8
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,16.5
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,16.5
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,16.5
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,16.5
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,16.3
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,16.0
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,8.9
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,19.7
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,13.3
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,14.4
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,14.1
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,15.0
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,9.2
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,11.5
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,10.0
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,10.4
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,9.3
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,9.0
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,9.3
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,6.3
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,5.2
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,8.1
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,5.7
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,5.0
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,5.4
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,5.4
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,5.4
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,5.4
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,5.4
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,5.0
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,4.4
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,8.3
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,8.1
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,5.4
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,4.7
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,3.2
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,0.6
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,1.0
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,1.5
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,1.4
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,0.6
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,-1.0
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,2.2
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.4
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,1.5
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,2.4
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,4.8
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,0.6
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,0.7
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,0.7
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,0.7
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,0.7
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,0.8
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,0.4
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,1.3
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,0.6
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,0.6
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,0.8
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,1.0
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,0.3
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,0.3
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,0.4
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,3.0
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,8.8
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,8.2
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,8.2
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,8.2
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,8.2
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,8.1
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,5.8
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,4.0
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,2.8
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,3.0
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,4.5
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,11.2
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,6.9
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,10.1
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,6.9
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,6.0
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,5.7
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,2.9
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,3.1
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,5.0
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,4.5
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,5.1
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,6.1
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,9.2
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,9.9
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,9.9
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,9.9
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,9.9
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,11.2
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,4.4
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,8.8
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,26.7
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,25.0
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,11.7
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,0.8
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,2.5
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,0.4
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,-1.6
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.6
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.4
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,1.8
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,1.7
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,0.6
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.1
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,1.7
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,0.6
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,3.3
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,4.1
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,4.1
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,4.1
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,4.1
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,4.5
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,6.5
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,7.4
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,3.1
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,3.3
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,3.0
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,4.8
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,2.3
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,2.7
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,2.9
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,2.8
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,0.9
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,3.4
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,3.2
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,1.8
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,5.8
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,6.1
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,3.6
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,3.6
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,3.6
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,3.6
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,2.4
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,3.8
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,1.5
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,1.0
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,1.6
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,1.6
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,2.0
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,2.5
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,2.7
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,3.7
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,5.1
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,5.4
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,2.6
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,8.3
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,2.5
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,8.7
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,1.9
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,0.8
