Year,Units,Federal state,GeoCode,Time series,Value
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,304.0
2007,Number,,,Researchers from other developing and emerging countries,326.0
2008,Number,,,Researchers from other developing and emerging countries,376.0
2009,Number,,,Researchers from other developing and emerging countries,445.0
2010,Number,,,Researchers from other developing and emerging countries,487.0
2011,Number,,,Researchers from other developing and emerging countries,498.0
2012,Number,,,Researchers from other developing and emerging countries,549.0
2013,Number,,,Researchers from other developing and emerging countries,650.0
2014,Number,,,Researchers from other developing and emerging countries,741.0
2015,Number,,,Researchers from other developing and emerging countries,766.0
2016,Number,,,Researchers from other developing and emerging countries,845.0
2017,Number,,,Researchers from other developing and emerging countries,1003.0
2018,Number,,,Researchers from other developing and emerging countries,1114.0
2019,Number,,,Researchers from other developing and emerging countries,1338.0
2020,Number,,,Researchers from other developing and emerging countries,1379.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,136.0
2007,Number,,,Researchers from other developing and emerging countries,161.0
2008,Number,,,Researchers from other developing and emerging countries,175.0
2009,Number,,,Researchers from other developing and emerging countries,195.0
2010,Number,,,Researchers from other developing and emerging countries,227.0
2011,Number,,,Researchers from other developing and emerging countries,234.0
2012,Number,,,Researchers from other developing and emerging countries,277.0
2013,Number,,,Researchers from other developing and emerging countries,272.0
2014,Number,,,Researchers from other developing and emerging countries,270.0
2015,Number,,,Researchers from other developing and emerging countries,320.0
2016,Number,,,Researchers from other developing and emerging countries,321.0
2017,Number,,,Researchers from other developing and emerging countries,393.0
2018,Number,,,Researchers from other developing and emerging countries,470.0
2019,Number,,,Researchers from other developing and emerging countries,512.0
2020,Number,,,Researchers from other developing and emerging countries,544.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,148.0
2007,Number,,,Researchers from other developing and emerging countries,129.0
2008,Number,,,Researchers from other developing and emerging countries,147.0
2009,Number,,,Researchers from other developing and emerging countries,149.0
2010,Number,,,Researchers from other developing and emerging countries,180.0
2011,Number,,,Researchers from other developing and emerging countries,191.0
2012,Number,,,Researchers from other developing and emerging countries,201.0
2013,Number,,,Researchers from other developing and emerging countries,204.0
2014,Number,,,Researchers from other developing and emerging countries,207.0
2015,Number,,,Researchers from other developing and emerging countries,218.0
2016,Number,,,Researchers from other developing and emerging countries,235.0
2017,Number,,,Researchers from other developing and emerging countries,279.0
2018,Number,,,Researchers from other developing and emerging countries,326.0
2019,Number,,,Researchers from other developing and emerging countries,361.0
2020,Number,,,Researchers from other developing and emerging countries,391.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,146.0
2007,Number,,,Researchers from other developing and emerging countries,167.0
2008,Number,,,Researchers from other developing and emerging countries,194.0
2009,Number,,,Researchers from other developing and emerging countries,264.0
2010,Number,,,Researchers from other developing and emerging countries,313.0
2011,Number,,,Researchers from other developing and emerging countries,348.0
2012,Number,,,Researchers from other developing and emerging countries,387.0
2013,Number,,,Researchers from other developing and emerging countries,417.0
2014,Number,,,Researchers from other developing and emerging countries,457.0
2015,Number,,,Researchers from other developing and emerging countries,498.0
2016,Number,,,Researchers from other developing and emerging countries,452.0
2017,Number,,,Researchers from other developing and emerging countries,518.0
2018,Number,,,Researchers from other developing and emerging countries,594.0
2019,Number,,,Researchers from other developing and emerging countries,665.0
2020,Number,,,Researchers from other developing and emerging countries,855.0
