Year,Units,Series,sex,federal state,GeoCode,Value
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,60.9
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,62.6
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,64.3
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,63.7
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,64.7
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,65.8
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.0
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,67.4
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,67.6
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.8
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,71.7
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.3
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.1
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.0
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.8
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.7
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.2
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.0
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.9
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,71.1
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.4
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.5
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.6
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.7
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.3
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.2
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.1
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.6
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.3
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.7
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.2
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.0
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.6
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.7
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.3
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.9
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.2
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,82.8
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.3
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,65.6
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,64.5
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,64.8
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,63.9
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.3
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,68.2
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,70.5
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.2
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.7
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,74.0
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.8
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.3
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.3
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.8
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.4
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.7
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.0
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.7
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,82.4
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.9
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,82.1
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,61.7
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,62.1
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,61.3
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,62.2
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,62.1
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,64.3
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,65.5
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,67.3
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.6
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,70.1
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,71.2
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.0
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.5
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,74.7
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.3
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.3
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.5
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.0
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.6
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.3
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.7
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.4
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,70.7
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,68.9
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,67.6
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,67.3
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,65.7
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,68.3
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,70.7
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.5
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,74.6
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.3
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.8
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.5
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.9
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.8
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.2
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.4
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.8
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,82.9
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,83.7
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,84.3
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,83.0
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,84.5
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,62.0
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,62.9
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,63.2
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,63.0
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,61.4
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,64.2
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.9
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.2
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,70.2
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,71.5
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.5
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,74.9
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.0
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.8
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.8
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.4
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.7
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.1
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.4
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.2
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.4
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.0
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,57.2
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,58.5
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,59.7
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,59.5
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,58.2
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,60.9
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,63.8
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.2
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.9
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.3
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,71.0
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.1
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.4
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.9
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.8
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,74.5
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,74.6
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.0
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.5
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.4
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.2
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.5
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.7
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,67.1
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.5
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.5
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,64.6
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,67.4
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,70.0
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.1
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.4
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.6
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.9
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.6
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.6
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.7
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.7
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.3
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.8
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.1
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.3
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.0
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.5
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,82.3
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.8
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.9
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.3
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,70.5
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.1
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,70.1
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.5
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.9
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.0
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,74.5
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.6
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.7
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.8
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.8
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.3
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.0
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.5
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.3
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.1
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.6
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.9
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.4
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,61.5
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,62.4
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,62.1
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,64.3
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,62.4
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,63.7
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.1
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.7
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,68.5
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,68.3
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,70.9
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,71.9
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.1
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.7
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.8
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,74.4
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,74.6
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.0
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.4
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.2
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.3
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.7
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.0
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.4
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.5
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.8
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.7
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.4
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.0
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.1
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.5
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.7
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.3
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.5
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,82.6
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,83.1
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,83.0
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,83.8
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,82.4
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,82.6
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,83.9
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,86.0
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,83.6
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,84.1
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,68.9
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,67.2
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,65.9
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,65.6
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.1
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,66.4
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.1
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,71.3
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.3
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.8
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.1
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.0
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.0
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.9
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.5
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.4
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.0
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.9
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.8
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.3
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.5
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.7
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,64.2
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,62.0
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,61.8
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,61.8
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,63.3
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,63.2
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,65.1
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,67.2
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,68.8
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,71.2
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.0
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.7
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.6
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,74.8
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.9
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.1
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.0
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.6
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.9
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.0
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.2
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.4
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,73.3
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.1
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.7
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.2
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,68.7
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.4
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.8
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.2
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.5
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.2
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.0
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.2
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.3
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.8
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,81.0
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.6
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.8
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,82.0
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,82.7
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,82.6
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,82.8
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,84.0
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,19.6
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,20.8
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,22.2
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,23.5
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,25.3
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,28.2
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,29.7
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,32.9
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,35.1
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,38.6
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,41.1
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.3
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,46.6
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.0
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.6
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.3
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.0
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.4
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.3
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.8
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.6
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.1
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,12.1
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,13.4
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,14.5
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,15.9
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,17.6
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,20.7
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,21.9
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,24.9
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,27.2
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,30.4
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,33.1
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,36.5
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,38.8
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,42.8
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,46.2
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.9
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.8
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.3
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.4
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.1
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.7
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.7
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,27.2
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,28.4
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,30.2
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,31.2
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,33.2
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,35.9
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,37.7
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,41.2
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,43.2
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.0
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.4
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.4
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.9
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.7
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.4
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.1
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.5
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,63.7
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,65.4
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,66.6
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,64.5
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,65.7
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.0
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.3
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.6
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.9
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.6
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.8
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.9
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,63.8
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,66.7
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,68.4
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,37.4
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,42.0
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.2
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,48.6
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.4
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.9
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.0
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.7
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.7
