Year,Units,Series,federal state,GeoCode,county,Value
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",10.8
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",11.3
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",13.6
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",14.5
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",17.4
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",17.5
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",17.0
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",21.3
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",19.1
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",21.5
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",22.6
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",23.2
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07318,"speyer, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",3.7
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",5.1
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",5.7
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",7.9
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",8.3
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",9.1
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",9.8
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",11.1
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",10.0
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",11.8
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",11.1
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",10.2
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",
2022,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",3.7
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",5.1
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",5.7
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",7.9
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",8.3
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",9.1
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",9.8
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",11.1
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",10.0
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",11.8
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",11.1
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",10.2
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07319,"worms, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",4.4
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",5.5
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",6.6
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",9.7
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",9.3
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",13.0
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",14.6
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",12.7
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",14.1
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",13.9
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",12.6
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",14.2
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",
2022,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",4.4
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",5.5
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",6.6
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",9.7
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",9.3
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",13.0
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",14.6
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",12.7
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",14.1
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",13.9
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",12.6
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",14.2
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07320,"zweibrücken, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,4.9
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,7.6
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,9.5
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,11.4
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,11.7
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,11.7
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,13.7
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,14.1
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,16.1
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,14.3
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,15.0
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,15.4
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,
2022,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,4.9
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,7.6
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,9.5
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,11.4
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,11.7
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,11.7
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,13.7
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,14.1
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,16.1
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,14.3
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,15.0
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,15.4
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07331,alzey-worms,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,8.8
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,9.8
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,13.4
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,16.5
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,15.7
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,18.0
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,18.8
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,17.7
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,18.5
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,17.8
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,20.1
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,19.8
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,
2022,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,8.8
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,9.8
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,13.4
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,16.5
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,15.7
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,18.0
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,18.8
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,17.7
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,18.5
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,17.8
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,20.1
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,19.8
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07332,bad dürkheim,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,4.1
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,6.6
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,7.7
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,11.3
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,9.7
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,13.2
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,12.5
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,12.6
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,14.2
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,14.7
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,15.6
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,15.2
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,
2022,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,4.1
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,6.6
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,7.7
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,11.3
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,9.7
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,13.2
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,12.5
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,12.6
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,14.2
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,14.7
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,15.6
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,15.2
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07333,donnersbergkreis,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,6.3
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,8.6
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,10.3
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,12.5
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,13.4
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,15.1
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,14.4
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,13.5
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,15.0
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,14.2
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,16.0
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,15.6
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,
2022,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,6.3
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,8.6
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,10.3
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,12.5
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,13.4
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,15.1
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,14.4
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,13.5
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,15.0
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,14.2
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,16.0
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,15.6
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07334,germersheim,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,5.7
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,9.2
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,11.3
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,13.9
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,14.2
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,15.8
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,14.3
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,16.0
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,14.5
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,14.5
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,15.0
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,13.8
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,
2022,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,5.7
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,9.2
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,11.3
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,13.9
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,14.2
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,15.8
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,14.3
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,16.0
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,14.5
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,14.5
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,15.0
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,13.8
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07335,kaiserslautern,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,4.8
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,4.1
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,7.0
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,9.1
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,11.7
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,12.0
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,10.7
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,13.8
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,13.4
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,12.8
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,13.9
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,14.5
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,
2022,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,4.8
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,4.1
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,7.0
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,9.1
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,11.7
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,12.0
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,10.7
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,13.8
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,13.4
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,12.8
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,13.9
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,14.5
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07336,kusel,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,
