Year,Units,Bundesland,GeoCode,Zeitreihe,Value
2009,Anzahl,,,Forschende aus LDCs,51.0
2010,Anzahl,,,Forschende aus LDCs,51.0
2011,Anzahl,,,Forschende aus LDCs,63.0
2012,Anzahl,,,Forschende aus LDCs,64.0
2013,Anzahl,,,Forschende aus LDCs,85.0
2014,Anzahl,,,Forschende aus LDCs,87.0
2015,Anzahl,,,Forschende aus LDCs,89.0
2016,Anzahl,,,Forschende aus LDCs,99.0
2017,Anzahl,,,Forschende aus LDCs,113.0
2018,Anzahl,,,Forschende aus LDCs,127.0
2019,Anzahl,,,Forschende aus LDCs,123.0
2020,Anzahl,,,Forschende aus LDCs,150.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,10.0
2007,Anzahl,,,Forschende aus LDCs,13.0
2008,Anzahl,,,Forschende aus LDCs,15.0
2009,Anzahl,,,Forschende aus LDCs,19.0
2010,Anzahl,,,Forschende aus LDCs,20.0
2011,Anzahl,,,Forschende aus LDCs,18.0
2012,Anzahl,,,Forschende aus LDCs,19.0
2013,Anzahl,,,Forschende aus LDCs,15.0
2014,Anzahl,,,Forschende aus LDCs,16.0
2015,Anzahl,,,Forschende aus LDCs,17.0
2016,Anzahl,,,Forschende aus LDCs,15.0
2017,Anzahl,,,Forschende aus LDCs,21.0
2018,Anzahl,,,Forschende aus LDCs,25.0
2019,Anzahl,,,Forschende aus LDCs,31.0
2020,Anzahl,,,Forschende aus LDCs,48.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,3.0
2007,Anzahl,,,Forschende aus LDCs,3.0
2008,Anzahl,,,Forschende aus LDCs,4.0
2009,Anzahl,,,Forschende aus LDCs,8.0
2010,Anzahl,,,Forschende aus LDCs,6.0
2011,Anzahl,,,Forschende aus LDCs,6.0
2012,Anzahl,,,Forschende aus LDCs,5.0
2013,Anzahl,,,Forschende aus LDCs,3.0
2014,Anzahl,,,Forschende aus LDCs,5.0
2015,Anzahl,,,Forschende aus LDCs,5.0
2016,Anzahl,,,Forschende aus LDCs,5.0
2017,Anzahl,,,Forschende aus LDCs,1.0
2018,Anzahl,,,Forschende aus LDCs,8.0
2019,Anzahl,,,Forschende aus LDCs,9.0
2020,Anzahl,,,Forschende aus LDCs,15.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,19.0
2007,Anzahl,,,Forschende aus LDCs,17.0
2008,Anzahl,,,Forschende aus LDCs,19.0
2009,Anzahl,,,Forschende aus LDCs,23.0
2010,Anzahl,,,Forschende aus LDCs,29.0
2011,Anzahl,,,Forschende aus LDCs,24.0
2012,Anzahl,,,Forschende aus LDCs,32.0
2013,Anzahl,,,Forschende aus LDCs,32.0
2014,Anzahl,,,Forschende aus LDCs,30.0
2015,Anzahl,,,Forschende aus LDCs,36.0
2016,Anzahl,,,Forschende aus LDCs,35.0
2017,Anzahl,,,Forschende aus LDCs,42.0
2018,Anzahl,,,Forschende aus LDCs,56.0
2019,Anzahl,,,Forschende aus LDCs,53.0
2020,Anzahl,,,Forschende aus LDCs,69.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,5.0
2007,Anzahl,,,Forschende aus LDCs,1.0
2008,Anzahl,,,Forschende aus LDCs,3.0
2009,Anzahl,,,Forschende aus LDCs,5.0
2010,Anzahl,,,Forschende aus LDCs,5.0
2011,Anzahl,,,Forschende aus LDCs,3.0
2012,Anzahl,,,Forschende aus LDCs,4.0
2013,Anzahl,,,Forschende aus LDCs,8.0
2014,Anzahl,,,Forschende aus LDCs,9.0
2015,Anzahl,,,Forschende aus LDCs,10.0
2016,Anzahl,,,Forschende aus LDCs,7.0
2017,Anzahl,,,Forschende aus LDCs,9.0
2018,Anzahl,,,Forschende aus LDCs,17.0
2019,Anzahl,,,Forschende aus LDCs,14.0
2020,Anzahl,,,Forschende aus LDCs,22.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,5.0
2007,Anzahl,,,Forschende aus LDCs,6.0
2008,Anzahl,,,Forschende aus LDCs,8.0
2009,Anzahl,,,Forschende aus LDCs,11.0
2010,Anzahl,,,Forschende aus LDCs,10.0
2011,Anzahl,,,Forschende aus LDCs,13.0
2012,Anzahl,,,Forschende aus LDCs,11.0
2013,Anzahl,,,Forschende aus LDCs,13.0
2014,Anzahl,,,Forschende aus LDCs,15.0
2015,Anzahl,,,Forschende aus LDCs,12.0
2016,Anzahl,,,Forschende aus LDCs,14.0
2017,Anzahl,,,Forschende aus LDCs,17.0
2018,Anzahl,,,Forschende aus LDCs,23.0
2019,Anzahl,,,Forschende aus LDCs,27.0
2020,Anzahl,,,Forschende aus LDCs,28.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,3.0
2007,Anzahl,,,Forschende aus LDCs,5.0
2008,Anzahl,,,Forschende aus LDCs,7.0
2009,Anzahl,,,Forschende aus LDCs,13.0
2010,Anzahl,,,Forschende aus LDCs,12.0
2011,Anzahl,,,Forschende aus LDCs,12.0
2012,Anzahl,,,Forschende aus LDCs,15.0
2013,Anzahl,,,Forschende aus LDCs,22.0
2014,Anzahl,,,Forschende aus LDCs,20.0
2015,Anzahl,,,Forschende aus LDCs,20.0
2016,Anzahl,,,Forschende aus LDCs,17.0
2017,Anzahl,,,Forschende aus LDCs,19.0
2018,Anzahl,,,Forschende aus LDCs,29.0
2019,Anzahl,,,Forschende aus LDCs,23.0
2020,Anzahl,,,Forschende aus LDCs,38.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,5848.0
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,6434.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,6766.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,8180.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,9482.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,10614.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,10946.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,11741.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,12865.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,13837.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,14592.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,15317.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,16904.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,18429.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,20214.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,22257.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1190.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1333.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1579.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1847.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2049.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1986.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2155.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2388.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2547.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2691.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2761.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,3164.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,3314.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,3458.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,3897.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,872.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,934.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1171.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1296.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1483.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1612.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1767.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1956.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2150.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2212.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2280.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2425.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2600.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2910.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,3265.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,468.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,461.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,550.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,597.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,620.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,603.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,672.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,688.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,765.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,858.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,877.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,934.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1000.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1138.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1322.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,97.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,109.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,124.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,151.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,170.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,208.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,204.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,209.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,227.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,232.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,267.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,322.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,352.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,414.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,492.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,108.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,96.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,116.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,156.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,181.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,184.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,177.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,193.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,192.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,195.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,204.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,225.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,219.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,238.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,238.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,162.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,215.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,242.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,272.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,282.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,281.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,281.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,330.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,340.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,347.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,416.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,442.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,496.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,578.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,649.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,469.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,520.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,628.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,730.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,836.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,898.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,921.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1017.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1063.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1065.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1089.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1146.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1238.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1344.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1424.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,67.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,73.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,94.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,102.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,139.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,128.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,139.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,160.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,176.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,176.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,194.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,209.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,239.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,276.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,308.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,519.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,646.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,710.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,797.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,883.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,915.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1010.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1132.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1140.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1206.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1250.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1343.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1475.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1549.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1638.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1399.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1240.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1675.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2017.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2178.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2221.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2293.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2473.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2749.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,2949.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,3199.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,3539.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,3955.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,4306.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,4628.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,238.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,254.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,291.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,302.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,404.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,412.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,472.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,505.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,514.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,529.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,602.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,640.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,653.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,756.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,823.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,111.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,102.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,108.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,162.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,182.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,227.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,236.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,271.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,299.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,330.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,325.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,322.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,384.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,371.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,404.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,304.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,326.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,376.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,445.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,487.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,498.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,549.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,650.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,741.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,766.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,845.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1003.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1114.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1338.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,1379.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,136.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,161.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,175.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,195.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,227.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,234.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,277.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,272.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,270.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,320.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,321.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,393.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,470.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,512.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,544.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,148.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,129.0
2008,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,147.0
2009,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,149.0
2010,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,180.0
2011,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,191.0
2012,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,201.0
2013,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,204.0
2014,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,207.0
2015,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,218.0
2016,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,235.0
2017,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,279.0
2018,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,326.0
2019,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,361.0
2020,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,391.0
2005,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,
2006,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,146.0
2007,Anzahl,,,Forschende aus den übrigen Entwicklungs- und Schwellenländern,167.0
